x,y,u
0.313131,0.010101,0.00232592
0.323232,0.010101,0.00241392
0.333333,0.010101,0.00249998
0.343434,0.010101,0.0025837
0.353535,0.010101,0.00266468
0.363636,0.010101,0.00274249
0.373737,0.010101,0.00281675
0.383838,0.010101,0.00288706
0.393939,0.010101,0.00295303
0.40404,0.010101,0.0030143
0.414141,0.010101,0.00307052
0.424242,0.010101,0.00312138
0.434343,0.010101,0.00316658
0.444444,0.010101,0.00320585
0.454545,0.010101,0.00323897
0.464646,0.010101,0.00326573
0.474747,0.010101,0.00328597
0.484848,0.010101,0.00329957
0.494949,0.010101,0.00330645
0.505051,0.010101,0.00330656
0.515152,0.010101,0.00329991
0.525253,0.010101,0.00328653
0.535354,0.010101,0.0032665
0.545455,0.010101,0.00323995
0.555556,0.010101,0.00320703
0.565657,0.010101,0.00316794
0.575758,0.010101,0.00312291
0.585859,0.010101,0.0030722
0.59596,0.010101,0.00301611
0.606061,0.010101,0.00295495
0.616162,0.010101,0.00288908
0.626263,0.010101,0.00281884
0.636364,0.010101,0.00274464
0.646465,0.010101,0.00266685
0.656566,0.010101,0.00258588
0.666667,0.010101,0.00250214
0.676768,0.010101,0.00241605
0.686869,0.010101,0.002328
0.69697,0.010101,0.00223841
0.707071,0.010101,0.00214766
0.717172,0.010101,0.00205615
0.727273,0.010101,0.00196423
0.737374,0.010101,0.00187226
0.747475,0.010101,0.00178057
0.757576,0.010101,0.00168947
0.767677,0.010101,0.00159923
0.777778,0.010101,0.00151012
0.787879,0.010101,0.00142237
0.79798,0.010101,0.00133617
0.808081,0.010101,0.00125169
0.818182,0.010101,0.00116909
0.828283,0.010101,0.00108847
0.838384,0.010101,0.00100992
0.848485,0.010101,0.000933482
0.858586,0.010101,0.00085919
0.868687,0.010101,0.000787038
0.878788,0.010101,0.000716995
0.888889,0.010101,0.000649006
0.89899,0.010101,0.000582991
0.909091,0.010101,0.000518846
0.919192,0.010101,0.00045645
0.929293,0.010101,0.000395657
0.939394,0.010101,0.000336309
0.949495,0.010101,0.00027823
0.959596,0.010101,0.000221233
0.969697,0.010101,0.000165118
0.979798,0.010101,0.00010968
0.989899,0.010101,5.47097e-05
1,0.010101,0
0,0.020202,0
0.010101,0.020202,0.000110067
0.020202,0.020202,0.000220529
0.030303,0.020202,0.00033184
0.040404,0.020202,0.000444441
0.0505051,0.020202,0.000558758
0.0606061,0.020202,0.000675195
0.0707071,0.020202,0.000794134
0.0808081,0.020202,0.000915929
0.0909091,0.020202,0.0010409
0.10101,0.020202,0.00116935
0.111111,0.020202,0.00130151
0.121212,0.020202,0.0014376
0.131313,0.020202,0.00157778
0.141414,0.020202,0.00172216
0.151515,0.020202,0.00187081
0.161616,0.020202,0.00202373
0.171717,0.020202,0.00218088
0.181818,0.020202,0.00234216
0.191919,0.020202,0.00250741
0.20202,0.020202,0.00267639
0.212121,0.020202,0.00284883
0.222222,0.020202,0.00302439
0.232323,0.020202,0.00320267
0.242424,0.020202,0.00338322
0.252525,0.020202,0.00356552
0.262626,0.020202,0.003749
0.272727,0.020202,0.00393307
0.282828,0.020202,0.00411705
0.292929,0.020202,0.00430026
0.30303,0.020202,0.00448195
0.313131,0.020202,0.00466137
0.323232,0.020202,0.00483772
0.333333,0.020202,0.00501021
0.343434,0.020202,0.005178
0.353535,0.020202,0.00534029
0.363636,0.020202,0.00549625
0.373737,0.020202,0.00564507
0.383838,0.020202,0.00578597
0.393939,0.020202,0.00591818
0.40404,0.020202,0.00604098
0.414141,0.020202,0.00615366
0.424242,0.020202,0.00625559
0.434343,0.020202,0.00634617
